全国 all
山西省 140000
内蒙古自治区 150000
辽宁省 210000
吉林省 220000
黑龙江省 230000
江苏省 320000
浙江省 330000
安徽省 340000
福建省 350000
江西省 360000
山东省 370000
湖北省 420000
河南省 410000
广东省 440000
湖南省 430000
海南省 460000
重庆 500000
四川省 510000
陕西省 610000
甘肃省 620000
天津 120000
河北省 130000
北京市 110100
宁夏回族自治区 640000
唐山市 130200
邯郸市 130400
邢台市 130500
秦皇岛市 130300
张家口市 130700
保定市 130600
衡水市 131100
阳泉市 140300
晋城市 140500
晋中市 140700
包头市 150200
呼和浩特市 150100
北京 110000
鄂尔多斯市 150600
锡林郭勒盟 152500
鞍山市 210300
抚顺市 210400
天津市 120100
营口市 210800
锦州市 210700
盘锦市 211100
辽阳市 211000
本溪市 210500
铁岭市 211200
葫芦岛市 211400
通化市 220500
四平市 220300
辽源市 220400
松原市 220700
大连市 210200
哈尔滨市 230100
延边朝鲜族自治州 222400
绥化市 231200
南京市 320100
白山市 220600
连云港市 320700
常州市 320400
南通市 320600
淮安市 320800
盐城市 320900
扬州市 321000
泰州市 321200
镇江市 321100
宁波市 330200
苏州市 320500
嘉兴市 330400
舟山市 330900
芜湖市 340200
宿迁市 321300
金华市 330700
铜陵市 340700
淮北市 340600
安庆市 340800
台州市 331000
阜阳市 341200
佳木斯市 230800
六安市 341500
蚌埠市 340300
亳州市 341600
淮南市 340400
厦门市 350200
池州市 341700
滁州市 341100
三明市 350400
漳州市 350600
莆田市 350300
南昌市 360100
景德镇市 360200
宁德市 350900
泉州市 350500
新余市 360500
吉安市 360800
鹰潭市 360600
宜春市 360900
抚州市 361000
上饶市 361100
济南市 370100
枣庄市 370400
烟台市 370600
泰安市 370900
威海市 371000
洛阳市 410300
安阳市 410500
三门峡市 411200
周口市 411600
武汉市 420100
驻马店市 411700
黄石市 420200
宜昌市 420500
萍乡市 360300
南平市 350700
黄冈市 421100
咸宁市 421200
随州市 421300
株洲市 430200
长沙市 430100
福州市 350100
黄山市 341000
九江市 360400
郴州市 431000
广州市 440100
深圳市 440300
珠海市 440400
汕头市 440500
惠州市 441300
中山市 442000
东莞市 441900
揭阳市 445200
自贡市 510300
重庆市 500100
德阳市 510600
攀枝花市 510400
乐山市 511100
内江市 511000
眉山市 511400
雅安市 511800
安康市 610900
武威市 620600
银川市 640100
石嘴山市 640200
固原市 640400
三亚市 460200
